title,published_at,section,read_minutes,canonical_url,source_capture_date,provenance_note
"Andre Beteille: A grammarian of culture",2026-02-20,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"The Aravallis: A Gadgilesque reimagination",2026-01-27,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"Reimagining democracy: Making sense of the present with eye on the future",2026-01-13,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"Why a museum isn't enough to memorialise Bhopal gas tragedy",2025-12-23,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"A shaman who shattered the lens of the Anthropocene",2025-12-09,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"Before dissent, need playfulness in nationalism",2025-11-25,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"Warp and weft of peacemaking amid violence",2025-10-21,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"The drying up of democratic imagination",2025-10-07,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"Rethinking Swadeshi in Trumpian era",2025-09-09,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"Needed: A new satyagraha for peace",2025-08-15,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"Making ethical sense of too many deaths",2025-07-09,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"Why patriotism is no substitute for morality",2025-06-11,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"New dream for South Asia to give peace a chance",2025-05-21,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"The individual: For whom the bell tolls",2025-04-22,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"When violence is built into the logic of policy",2025-04-09,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"The World of Raghu Rai",2025-03-29,Columns,3,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"Wielding culture as a cudgel in Trumpian era",2025-03-25,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"How to frame everyday ethics for the new era",2025-02-25,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"The banalisation of Kejriwal and Aam Aadmi Party",2025-02-11,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
